pg_id	year	title	author
1251	1485	Le Morte d'Arthur	Thomas Malory
10	1611	The King James Version of the Bible	Various
100	1623	The Complete Works of William Shakespeare	William Shakespeare
3207	1651	Leviathan	Thomas Hobbes
20	1667	Paradise Lost	John Milton
131	1678	The Pilgrim's Progress	John Bunyan
4737	1704	A Tale of a Tub	Jonathan Swift
521	1719	Robinson Crusoe	Daniel Defoe
829	1726	Gulliver's Travels	Jonathan Swift
1080	1729	A Modest Proposal	Jonathan Swift
6124	1740	Pamela	Samuel Richardson
6593	1749	The History of Tom Jones, a Foundling	Henry Fielding
652	1759	Rasselas, Prince of Abyssinia	Samuel Johnson
696	1764	The Castle of Otranto	Horace Walpole
2667	1766	The Vicar of Wakefield	Oliver Goldsmith
2160	1771	The Expedition of Humphry Clinker	Tobias Smollett
1	1776	The Declaration of Independence	Thomas Jefferson and the Continental Congress
147	1776	Common Sense	Thomas Paine
3300	1776	An Inquiry into the Nature and Causes of the Wealth of Nations	Adam Smith
5	1787	The United States Constitution	United States Constitutional Convention
18	1788	The Federalist Papers	Alexander Hamilton, James Madison, and John Jay
15399	1789	The Interesting Narrative of the Life of Olaudah Equiano	Olaudah Equiano
3742	1791	Rights of Man	Thomas Paine
3420	1792	A Vindication of the Rights of Woman	Mary Wollstonecraft
601	1796	The Monk	Matthew Gregory Lewis
9622	1798	Lyrical Ballads	William Wordsworth and Samuel Taylor Coleridge
161	1811	Sense and Sensibility	Jane Austen
1342	1813	Pride and Prejudice	Jane Austen
141	1814	Mansfield Park	Jane Austen
158	1815	Emma	Jane Austen
121	1817	Northanger Abbey	Jane Austen
84	1818	Frankenstein	Mary Wollstonecraft Shelley
82	1819	Ivanhoe	Walter Scott
730	1838	Oliver Twist	Charles Dickens
46	1843	A Christmas Carol	Charles Dickens
23	1845	Narrative of the Life of Frederick Douglass	Frederick Douglass
1260	1847	Jane Eyre	Charlotte Bronte
768	1847	Wuthering Heights	Emily Bronte
599	1848	Vanity Fair	William Makepeace Thackeray
33	1850	The Scarlet Letter	Nathaniel Hawthorne
766	1850	David Copperfield	Charles Dickens
2701	1851	Moby-Dick	Herman Melville
203	1852	Uncle Tom's Cabin	Harriet Beecher Stowe
1023	1853	Bleak House	Charles Dickens
205	1854	Walden	Henry David Thoreau
1322	1855	Leaves of Grass	Walt Whitman
583	1859	The Woman in White	Wilkie Collins
1400	1861	Great Expectations	Charles Dickens
11	1865	Alice's Adventures in Wonderland	Lewis Carroll
514	1868	Little Women	Louisa May Alcott
12	1871	Through the Looking-Glass	Lewis Carroll
145	1872	Middlemarch	George Eliot
5231	1875	The Way We Live Now	Anthony Trollope
74	1876	The Adventures of Tom Sawyer	Mark Twain
2833	1881	The Portrait of a Lady	Henry James
120	1883	Treasure Island	Robert Louis Stevenson
76	1884	Adventures of Huckleberry Finn	Mark Twain
43	1886	Strange Case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson
244	1887	A Study in Scarlet	Arthur Conan Doyle
2097	1890	The Sign of the Four	Arthur Conan Doyle
174	1891	The Picture of Dorian Gray	Oscar Wilde
1661	1892	The Adventures of Sherlock Holmes	Arthur Conan Doyle
1952	1892	The Yellow Wallpaper	Charlotte Perkins Gilman
35	1895	The Time Machine	H. G. Wells
73	1895	The Red Badge of Courage	Stephen Crane
844	1895	The Importance of Being Earnest	Oscar Wilde
345	1897	Dracula	Bram Stoker
36	1898	The War of the Worlds	H. G. Wells
160	1899	The Awakening	Kate Chopin
55	1900	The Wonderful Wizard of Oz	L. Frank Baum
2852	1902	The Hound of the Baskervilles	Arthur Conan Doyle
215	1903	The Call of the Wild	Jack London
284	1905	The House of Mirth	Edith Wharton
140	1906	The Jungle	Upton Sinclair
204	1911	The Innocence of Father Brown	G. K. Chesterton
17396	1911	The Secret Garden	Frances Hodgson Burnett
78	1912	Tarzan of the Apes	Edgar Rice Burroughs
139	1912	The Lost World	Arthur Conan Doyle
